# Number of Traces
262
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
51; 6; 38; -3.46945e-18; -3.46945e-18; 2.77556e-17; 0.0792567; -0.00652043; -0.0585746
52; 7; 14; 5.55112e-17; 5.55112e-17; 5.55112e-17; -0.291417; 0.358332; 0.426064
53; 7; 22; 0; 0; 0; -0.318754; 0.000597997; 0.328694
54; 7; 31; -5.55112e-17; -2.77556e-17; 0; -0.0514921; 0.0487103; -0.103255
55; 7; 38; -5.55112e-17; -2.77556e-17; 0; 0.0792567; -0.00652043; -0.0585746
56; 7; 41; 0; 0; 0; 0.0917202; -0.228058; 0.143663
57; 8; 12; 1.38778e-17; 2.77556e-17; 5.55112e-17; 0.269293; -0.168224; 0.243612
58; 8; 20; 0; 0; 0; -0.145959; 0.134119; -0.337741
59; 8; 24; 0; 0; 0; -0.000683658; 0.00226379; -0.00081086
60; 8; 28; -1.38778e-17; -2.77556e-17; -5.55112e-17; -0.121718; 0.265379; 0.0391071
61; 8; 31; 0; 0; 0; -0.0514921; 0.0487103; -0.103255
62; 8; 41; 1.38778e-17; 2.77556e-17; 5.55112e-17; 0.0917202; -0.228058; 0.143663
63; 8; 46; 0; 0; 0; 0.93395; -0.164664; -0.20827
64; 9; 14; 6.93889e-17; -3.1225e-17; -4.33681e-18; -0.291417; 0.358332; 0.426064
65; 9; 22; 2.08167e-17; -1.04083e-17; -1.30104e-18; -0.318754; 0.000597997; 0.328694
66; 9; 23; 6.93889e-18; -3.46945e-18; -4.33681e-19; 0.00584805; 0.714559; 0.484362
67; 9; 27; -1.38778e-17; 3.46945e-18; 8.67362e-19; -0.0130967; -0.024264; 0.0280362
68; 9; 29; 1.38778e-17; -6.93889e-18; -8.67362e-19; 0.00374666; -0.0144238; 0.00297868
69; 9; 30; -2.08167e-17; 6.93889e-18; 1.30104e-18; 0.10224; -0.440311; 0.840272
70; 9; 35; 4.85723e-17; -2.08167e-17; -2.60209e-18; -0.473028; 0.878966; 1.09002
71; 9; 36; -2.08167e-17; 6.93889e-18; 1.30104e-18; 0.0874632; -0.104264; -0.0224827
72; 9; 41; -1.38778e-17; 3.46945e-18; 8.67362e-19; 0.0917202; -0.228058; 0.143663
73; 9; 42; -6.93889e-18; 0; 4.33681e-19; -0.507726; 0.407506; 0.335225
74; 9; 43; -6.93889e-18; 0; 4.33681e-19; -0.11629; 1.72388; 0.511301
75; 9; 44; 0; 0; 0; 0.0241872; -0.0186429; -0.00356533
76; 9; 45; 0; 0; 0; -0.132524; -0.100949; 0.161789
77; 9; 47; 2.08167e-17; -1.04083e-17; -1.30104e-18; -0.238159; 0.24874; 0.219372
78; 9; 48; 6.93889e-18; -3.46945e-18; -4.33681e-19; 0.058771; -0.199569; 0.215958
79; 10; 14; 1.11022e-16; 3.46945e-18; 5.55112e-17; -0.291417; 0.358332; 0.426064
80; 10; 23; 1.11022e-16; 3.46945e-18; 1.11022e-16; 0.00584805; 0.714559; 0.484362
81; 10; 29; 0; 0; 0; 0.00374666; -0.0144238; 0.00297868
82; 11; 12; 2.77556e-17; 3.46945e-18; 6.93889e-18; 0.269293; -0.168224; 0.243612
83; 11; 14; -2.77556e-17; -3.46945e-18; -6.93889e-18; -0.291417; 0.358332; 0.426064
84; 11; 20; 0; 0; 0; -0.145959; 0.134119; -0.337741
85; 11; 22; 0; 0; 0; -0.318754; 0.000597997; 0.328694
86; 11; 31; 2.77556e-17; 3.46945e-18; 6.93889e-18; -0.0514921; 0.0487103; -0.103255
87; 11; 39; 2.77556e-17; 3.46945e-18; 6.93889e-18; 0.0170241; 0.213433; -0.486771
88; 11; 41; 0; 0; 0; 0.0917202; -0.228058; 0.143663
89; 12; 13; 0; 0; 0; 0.370323; -0.390281; -0.0667745
90; 12; 14; 2.77556e-17; -1.38778e-17; 1.38778e-17; -0.291417; 0.358332; 0.426064
91; 12; 21; 0; 0; 0; 0.19078; 0.20941; -0.228995
92; 12; 22; 0; 1.38778e-17; -2.77556e-17; -0.318754; 0.000597997; 0.328694
93; 12; 23; 5.55112e-17; -2.77556e-17; 2.77556e-17; 0.00584805; 0.714559; 0.484362
94; 12; 24; 2.77556e-17; -1.38778e-17; 1.38778e-17; -0.000683658; 0.00226379; -0.00081086
95; 12; 27; 2.77556e-17; -1.38778e-17; 1.38778e-17; -0.0130967; -0.024264; 0.0280362
96; 12; 28; 5.55112e-17; -2.77556e-17; 2.77556e-17; -0.121718; 0.265379; 0.0391071
97; 12; 29; 0; 0; 0; 0.00374666; -0.0144238; 0.00297868
98; 12; 41; 0; 1.38778e-17; -2.77556e-17; 0.0917202; -0.228058; 0.143663
99; 12; 46; 0; 0; 0; 0.93395; -0.164664; -0.20827
100; 12; 47; 0; 0; 0; -0.238159; 0.24874; 0.219372
101; 12; 48; 2.77556e-17; -1.38778e-17; 1.38778e-17; 0.058771; -0.199569; 0.215958
102; 13; 14; 0; 0; 0; -0.291417; 0.358332; 0.426064
103; 13; 16; 0; 0; 0; 1.23312; -0.801007; 0.499302
104; 13; 21; 5.55112e-17; -2.77556e-17; -6.93889e-18; 0.19078; 0.20941; -0.228995
105; 13; 23; 0; 0; 0; 0.00584805; 0.714559; 0.484362
106; 13; 24; 0; 0; 0; -0.000683658; 0.00226379; -0.00081086
107; 13; 27; 0; 0; 0; -0.0130967; -0.024264; 0.0280362
108; 13; 28; -2.77556e-17; 5.55112e-17; 6.93889e-18; -0.121718; 0.265379; 0.0391071
109; 13; 29; 0; 0; 0; 0.00374666; -0.0144238; 0.00297868
110; 13; 32; 5.55112e-17; -2.77556e-17; -6.93889e-18; -0.218143; 0.405321; 1.02665
111; 13; 33; 0; 0; 0; 0.563014; 0.751189; -0.137769
112; 13; 41; 0; 0; 0; 0.0917202; -0.228058; 0.143663
113; 13; 48; 5.55112e-17; -2.77556e-17; -6.93889e-18; 0.058771; -0.199569; 0.215958
114; 14; 16; 2.77556e-17; -2.77556e-17; -2.77556e-17; 1.23312; -0.801007; 0.499302
115; 14; 21; 0; 0; 0; 0.19078; 0.20941; -0.228995
116; 14; 22; 0; 0; 0; -0.318754; 0.000597997; 0.328694
117; 14; 23; 5.55112e-17; -5.55112e-17; -5.55112e-17; 0.00584805; 0.714559; 0.484362
118; 14; 24; 2.77556e-17; -2.77556e-17; -2.77556e-17; -0.000683658; 0.00226379; -0.00081086
119; 14; 25; 0; 0; 0; -0.0525626; 0.125522; -0.117774
